,Quantidade em Estoque,Data da Venda
Filial 10,50,2022-10-06 18:58:06.794203
Filial 9,89,2023-01-09 18:58:06.794203
Filial 7,31,2023-07-02 18:58:06.794203
Filial 3,40,2023-06-04 18:58:06.794203
Filial 9,91,2023-02-23 18:58:06.794203
Filial 3,10,2023-07-31 18:58:06.794203
Filial 6,77,2022-11-18 18:58:06.794203
Filial 2,23,2022-11-19 18:58:06.794203
Filial 8,72,2023-01-14 18:58:06.794203
Filial 7,89,2022-11-25 18:58:06.794203
Filial 1,50,2022-09-29 18:58:06.794203
Filial 5,72,2023-07-21 18:58:06.794203
Filial 6,78,2023-02-11 18:58:06.794203
Filial 1,75,2023-01-02 18:58:06.794203
Filial 10,84,2022-12-16 18:58:06.794203
Filial 2,15,2022-12-26 18:58:06.794203
Filial 10,26,2022-12-19 18:58:06.794203
Filial 8,46,2023-02-14 18:58:06.794203
Filial 8,79,2022-10-21 18:58:06.794203
Filial 2,75,2022-09-26 18:58:06.794203
Filial 3,11,2023-08-04 18:58:06.794203
Filial 2,25,2023-06-06 18:58:06.794203
Filial 6,7,2023-03-25 18:58:06.794203
Filial 6,88,2022-09-22 18:58:06.794203
Filial 2,47,2023-06-23 18:58:06.794203
Filial 7,22,2023-08-17 18:58:06.794203
Filial 5,98,2023-06-06 18:58:06.794203
Filial 5,67,2022-09-12 18:58:06.794203
Filial 3,67,2023-03-03 18:58:06.794203
Filial 4,79,2023-01-29 18:58:06.794203
Filial 6,82,2022-12-03 18:58:06.794203
Filial 6,96,2023-02-27 18:58:06.794203
Filial 3,86,2023-07-06 18:58:06.794203
Filial 5,14,2023-07-06 18:58:06.794203
Filial 7,4,2022-11-24 18:58:06.794203
Filial 10,28,2022-12-24 18:58:06.794203
Filial 9,45,2023-05-14 18:58:06.794203
Filial 5,97,2023-04-23 18:58:06.794203
Filial 9,3,2023-01-17 18:58:06.794203
Filial 3,93,2022-10-22 18:58:06.794203
Filial 9,63,2022-10-28 18:58:06.794203
Filial 2,63,2023-03-13 18:58:06.794203
Filial 3,48,2023-03-08 18:58:06.794203
Filial 7,55,2023-04-28 18:58:06.794203
Filial 7,54,2023-08-06 18:58:06.794203
Filial 3,27,2023-02-19 18:58:06.794203
Filial 5,55,2022-11-01 18:58:06.794203
Filial 6,72,2023-03-18 18:58:06.794203
Filial 6,50,2023-03-10 18:58:06.794203
Filial 2,18,2022-10-09 18:58:06.794203
Filial 7,81,2022-12-14 18:58:06.794203
Filial 5,47,2022-11-14 18:58:06.794203
Filial 1,5,2022-11-21 18:58:06.794203
Filial 8,56,2022-11-21 18:58:06.794203
Filial 8,8,2023-06-19 18:58:06.794203
Filial 9,38,2022-11-25 18:58:06.794203
Filial 4,30,2023-08-30 18:58:06.794203
Filial 3,85,2022-09-10 18:58:06.794203
Filial 3,20,2023-01-20 18:58:06.794203
Filial 3,24,2023-06-21 18:58:06.794203
Filial 8,8,2023-09-05 18:58:06.794203
Filial 1,59,2022-09-30 18:58:06.794203
Filial 8,81,2023-04-02 18:58:06.794203
Filial 4,25,2023-03-19 18:58:06.794203
Filial 2,85,2022-12-27 18:58:06.794203
Filial 2,63,2023-01-13 18:58:06.794203
Filial 6,28,2022-10-30 18:58:06.794203
Filial 9,40,2022-10-07 18:58:06.794203
Filial 9,98,2023-07-25 18:58:06.794203
Filial 3,38,2022-11-20 18:58:06.794203
Filial 9,99,2022-12-04 18:58:06.794203
Filial 7,51,2023-06-28 18:58:06.794203
Filial 8,69,2023-02-23 18:58:06.794203
Filial 8,63,2023-07-02 18:58:06.794203
Filial 2,74,2023-02-02 18:58:06.794203
Filial 4,69,2023-03-12 18:58:06.794203
Filial 6,17,2023-06-22 18:58:06.794203
Filial 10,22,2022-10-23 18:58:06.794203
Filial 9,23,2023-04-17 18:58:06.794203
Filial 8,87,2022-12-05 18:58:06.794203
Filial 9,49,2023-07-28 18:58:06.794203
Filial 6,33,2022-09-27 18:58:06.794203
Filial 9,22,2022-09-05 18:58:06.794203
Filial 2,46,2023-08-07 18:58:06.794203
Filial 9,66,2023-04-23 18:58:06.794203
Filial 3,21,2022-11-20 18:58:06.794203
Filial 8,24,2023-02-01 18:58:06.794203
Filial 8,77,2023-07-03 18:58:06.794203
Filial 1,76,2023-04-10 18:58:06.794203
Filial 4,62,2022-12-08 18:58:06.794203
Filial 5,67,2022-10-09 18:58:06.794203
Filial 1,15,2022-12-21 18:58:06.794203
Filial 9,26,2023-03-07 18:58:06.794203
Filial 4,90,2023-07-25 18:58:06.794203
Filial 6,49,2023-08-11 18:58:06.794203
Filial 6,10,2023-08-11 18:58:06.794203
Filial 5,15,2023-01-24 18:58:06.794203
Filial 10,31,2023-07-26 18:58:06.794203
Filial 6,26,2022-11-29 18:58:06.794203
Filial 7,33,2023-01-28 18:58:06.794203
Filial 6,34,2023-04-13 18:58:06.794203
Filial 10,95,2023-04-29 18:58:06.794203
Filial 2,77,2022-11-20 18:58:06.794203
Filial 4,51,2023-04-09 18:58:06.794203
Filial 3,41,2023-08-05 18:58:06.794203
Filial 1,21,2023-04-10 18:58:06.794203
Filial 8,6,2023-05-06 18:58:06.794203
Filial 3,33,2023-05-24 18:58:06.794203
Filial 2,8,2023-01-19 18:58:06.794203
Filial 2,33,2022-10-30 18:58:06.794203
Filial 6,80,2023-04-05 18:58:06.794203
Filial 1,18,2022-10-27 18:58:06.794203
Filial 6,18,2023-02-05 18:58:06.794203
Filial 5,79,2023-02-19 18:58:06.794203
Filial 7,14,2022-11-27 18:58:06.794203
Filial 10,59,2023-07-12 18:58:06.794203
Filial 2,84,2023-07-19 18:58:06.794203
Filial 5,62,2023-06-02 18:58:06.794203
Filial 3,10,2023-04-25 18:58:06.794203
Filial 8,60,2023-03-25 18:58:06.794203
Filial 6,24,2022-12-13 18:58:06.794203
Filial 10,26,2023-06-02 18:58:06.794203
Filial 5,41,2023-05-25 18:58:06.794203
Filial 4,27,2023-03-05 18:58:06.794203
Filial 6,93,2023-01-18 18:58:06.794203
Filial 3,79,2023-03-15 18:58:06.794203
Filial 6,80,2023-07-26 18:58:06.794203
Filial 5,19,2023-09-05 18:58:06.794203
Filial 1,62,2023-04-05 18:58:06.794203
Filial 8,99,2023-04-17 18:58:06.794203
Filial 5,100,2023-03-23 18:58:06.794203
Filial 5,62,2022-11-03 18:58:06.794203
Filial 9,45,2023-03-01 18:58:06.794203
Filial 1,19,2023-05-29 18:58:06.794203
Filial 9,43,2023-03-22 18:58:06.794203
Filial 1,61,2023-07-05 18:58:06.794203
Filial 3,47,2022-11-14 18:58:06.794203
Filial 2,35,2022-11-20 18:58:06.794203
Filial 10,72,2023-07-23 18:58:06.794203
Filial 6,93,2023-04-14 18:58:06.794203
Filial 8,29,2023-02-18 18:58:06.794203
Filial 9,47,2023-02-23 18:58:06.794203
Filial 9,33,2022-12-16 18:58:06.794203
Filial 6,1,2023-06-09 18:58:06.794203
Filial 6,39,2022-12-11 18:58:06.794203
Filial 5,67,2022-09-18 18:58:06.794203
Filial 7,19,2022-11-27 18:58:06.794203
Filial 2,19,2022-12-09 18:58:06.794203
Filial 10,12,2023-06-11 18:58:06.794203
Filial 5,72,2022-09-10 18:58:06.794203
Filial 9,77,2023-08-21 18:58:06.794203
Filial 1,11,2022-11-19 18:58:06.794203
Filial 7,96,2023-06-05 18:58:06.794203
Filial 8,12,2022-11-06 18:58:06.794203
Filial 10,89,2022-10-05 18:58:06.794203
Filial 10,53,2022-11-10 18:58:06.794203
Filial 9,80,2023-08-23 18:58:06.794203
Filial 7,10,2022-12-01 18:58:06.794203
Filial 9,77,2023-02-11 18:58:06.794203
Filial 6,49,2022-12-02 18:58:06.794203
Filial 8,42,2023-03-24 18:58:06.794203
Filial 7,91,2023-03-29 18:58:06.794203
Filial 5,78,2023-05-02 18:58:06.794203
Filial 2,70,2022-10-01 18:58:06.794203
Filial 2,46,2023-08-19 18:58:06.794203
Filial 7,54,2022-10-06 18:58:06.794203
Filial 3,92,2022-12-31 18:58:06.794203
Filial 7,16,2023-06-01 18:58:06.794203
Filial 7,20,2023-05-12 18:58:06.794203
Filial 10,43,2022-12-02 18:58:06.794203
Filial 1,2,2023-07-25 18:58:06.794203
Filial 4,67,2022-11-10 18:58:06.794203
Filial 3,36,2022-12-14 18:58:06.794203
Filial 4,25,2023-07-03 18:58:06.794203
Filial 5,85,2023-05-29 18:58:06.794203
Filial 2,64,2022-10-18 18:58:06.794203
Filial 5,4,2022-11-18 18:58:06.794203
Filial 8,20,2022-10-05 18:58:06.794203
Filial 9,49,2023-06-12 18:58:06.794203
Filial 3,7,2022-11-14 18:58:06.794203
Filial 1,31,2023-03-05 18:58:06.794203
Filial 8,98,2023-02-01 18:58:06.794203
Filial 3,61,2022-10-04 18:58:06.794203
Filial 8,12,2022-09-11 18:58:06.794203
Filial 10,44,2023-01-11 18:58:06.794203
Filial 5,31,2022-12-21 18:58:06.794203
Filial 3,65,2022-12-14 18:58:06.794203
Filial 1,18,2022-12-11 18:58:06.794203
Filial 9,23,2023-05-08 18:58:06.794203
Filial 8,85,2022-10-18 18:58:06.794203
Filial 8,32,2022-12-26 18:58:06.794203
Filial 7,42,2022-10-18 18:58:06.794203
Filial 1,78,2023-02-22 18:58:06.794203
Filial 1,64,2023-09-03 18:58:06.794203
Filial 2,28,2022-11-25 18:58:06.794203
Filial 7,62,2023-06-01 18:58:06.794203
Filial 10,43,2023-02-28 18:58:06.794203
Filial 3,11,2023-03-07 18:58:06.794203
Filial 2,31,2023-05-18 18:58:06.794203
Filial 2,62,2022-11-15 18:58:06.794203
Filial 1,96,2023-08-23 18:58:06.794203
Filial 5,23,2023-01-26 18:58:06.794203
Filial 1,86,2023-06-25 18:58:06.794203
Filial 5,45,2023-05-17 18:58:06.794203
Filial 3,18,2022-12-18 18:58:06.794203
Filial 9,66,2023-01-23 18:58:06.794203
Filial 7,44,2022-09-10 18:58:06.794203
Filial 3,72,2022-10-04 18:58:06.794203
Filial 10,5,2022-12-02 18:58:06.794203
Filial 7,44,2022-09-18 18:58:06.794203
Filial 1,40,2023-01-19 18:58:06.794203
Filial 8,96,2022-10-15 18:58:06.794203
Filial 5,81,2023-09-04 18:58:06.794203
Filial 5,34,2022-12-26 18:58:06.794203
Filial 5,10,2022-10-26 18:58:06.794203
Filial 5,82,2023-08-02 18:58:06.794203
Filial 6,92,2023-04-09 18:58:06.794203
Filial 8,64,2023-07-24 18:58:06.794203
Filial 4,44,2022-09-18 18:58:06.794203
Filial 2,67,2022-12-04 18:58:06.794203
Filial 2,94,2022-10-30 18:58:06.794203
Filial 4,94,2022-09-24 18:58:06.794203
Filial 9,63,2023-04-01 18:58:06.794203
Filial 7,72,2023-02-23 18:58:06.794203
Filial 7,16,2022-12-18 18:58:06.794203
Filial 7,68,2023-07-12 18:58:06.794203
Filial 6,25,2023-08-28 18:58:06.794203
Filial 8,96,2022-12-27 18:58:06.794203
Filial 3,91,2022-11-06 18:58:06.794203
Filial 1,47,2023-07-20 18:58:06.794203
Filial 4,100,2022-10-29 18:58:06.794203
Filial 5,91,2022-11-06 18:58:06.794203
Filial 6,76,2023-05-12 18:58:06.794203
Filial 7,51,2023-01-13 18:58:06.794203
Filial 3,6,2023-05-04 18:58:06.794203
Filial 8,43,2023-07-16 18:58:06.794203
Filial 1,41,2022-10-31 18:58:06.794203
Filial 6,88,2023-01-01 18:58:06.794203
Filial 1,40,2023-02-20 18:58:06.794203
Filial 6,95,2023-06-10 18:58:06.794203
Filial 7,37,2023-08-29 18:58:06.794203
Filial 7,32,2023-05-26 18:58:06.794203
Filial 8,32,2023-08-20 18:58:06.794203
Filial 2,57,2022-09-23 18:58:06.794203
Filial 1,15,2023-03-28 18:58:06.794203
Filial 3,52,2023-08-13 18:58:06.794203
Filial 2,10,2023-09-01 18:58:06.794203
Filial 2,30,2023-08-20 18:58:06.794203
Filial 10,80,2023-01-24 18:58:06.794203
Filial 3,48,2023-03-12 18:58:06.794203
Filial 2,90,2023-06-30 18:58:06.794203
Filial 9,12,2023-05-08 18:58:06.794203
Filial 6,81,2023-06-16 18:58:06.794203
Filial 8,15,2023-01-15 18:58:06.794203
Filial 2,15,2023-03-25 18:58:06.794203
Filial 7,95,2023-01-10 18:58:06.794203
Filial 3,81,2023-03-25 18:58:06.794203
Filial 8,52,2022-11-28 18:58:06.794203
Filial 7,28,2022-11-25 18:58:06.794203
Filial 9,64,2022-10-19 18:58:06.794203
Filial 5,64,2022-09-24 18:58:06.794203
Filial 9,34,2023-02-05 18:58:06.794203
Filial 3,49,2022-12-25 18:58:06.794203
Filial 6,70,2023-01-14 18:58:06.794203
Filial 2,17,2022-09-28 18:58:06.794203
Filial 9,54,2023-08-12 18:58:06.794203
Filial 3,33,2022-09-30 18:58:06.794203
Filial 1,85,2023-03-18 18:58:06.794203
Filial 10,69,2022-11-06 18:58:06.794203
Filial 3,11,2022-12-16 18:58:06.794203
Filial 7,3,2022-10-13 18:58:06.794203
Filial 6,21,2023-07-05 18:58:06.794203
Filial 4,84,2023-03-12 18:58:06.794203
Filial 7,45,2023-07-20 18:58:06.794203
Filial 2,65,2022-10-17 18:58:06.794203
Filial 2,86,2023-02-19 18:58:06.794203
Filial 1,85,2023-02-13 18:58:06.794203
Filial 8,6,2022-11-01 18:58:06.794203
Filial 6,72,2023-01-04 18:58:06.794203
Filial 5,61,2022-11-29 18:58:06.794203
Filial 10,73,2022-12-23 18:58:06.794203
Filial 8,32,2023-05-05 18:58:06.794203
Filial 2,5,2023-07-13 18:58:06.794203
Filial 6,96,2023-04-16 18:58:06.794203
Filial 3,65,2023-08-18 18:58:06.794203
Filial 8,87,2023-05-25 18:58:06.794203
Filial 6,77,2022-12-03 18:58:06.794203
Filial 8,54,2022-12-21 18:58:06.794203
Filial 2,56,2022-10-27 18:58:06.794203
Filial 3,72,2022-10-28 18:58:06.794203
Filial 10,46,2022-11-03 18:58:06.794203
Filial 8,42,2023-07-20 18:58:06.794203
Filial 8,25,2022-11-25 18:58:06.794203
Filial 2,82,2023-08-20 18:58:06.794203
Filial 1,34,2023-03-06 18:58:06.794203
Filial 4,47,2023-07-04 18:58:06.794203
Filial 9,82,2023-05-03 18:58:06.794203
Filial 10,81,2023-04-10 18:58:06.794203
Filial 10,59,2023-03-31 18:58:06.794203
Filial 8,99,2023-02-10 18:58:06.794203
Filial 2,97,2022-11-16 18:58:06.794203
Filial 8,5,2022-11-11 18:58:06.794203
Filial 7,40,2023-01-10 18:58:06.794203
Filial 8,27,2022-09-25 18:58:06.794203
Filial 1,19,2023-02-16 18:58:06.794203
Filial 9,59,2023-07-31 18:58:06.794203
Filial 10,17,2023-08-03 18:58:06.794203
Filial 7,46,2023-09-01 18:58:06.794203
Filial 3,92,2023-01-07 18:58:06.794203
Filial 3,39,2022-10-05 18:58:06.794203
Filial 9,16,2023-04-21 18:58:06.794203
Filial 8,49,2022-10-09 18:58:06.794203
Filial 4,23,2022-10-30 18:58:06.794203
Filial 8,28,2023-03-05 18:58:06.794203
Filial 5,1,2023-01-17 18:58:06.794203
Filial 2,78,2022-09-13 18:58:06.794203
Filial 9,14,2022-09-07 18:58:06.794203
Filial 7,45,2023-01-28 18:58:06.794203
Filial 9,52,2023-03-03 18:58:06.794203
Filial 3,65,2022-09-11 18:58:06.794203
Filial 4,80,2023-01-16 18:58:06.794203
Filial 3,3,2023-01-15 18:58:06.794203
Filial 4,87,2023-03-13 18:58:06.794203
Filial 4,57,2023-04-18 18:58:06.794203
Filial 3,11,2022-09-09 18:58:06.794203
Filial 10,22,2022-09-14 18:58:06.794203
Filial 3,89,2022-10-10 18:58:06.794203
Filial 10,18,2022-12-24 18:58:06.794203
Filial 2,12,2023-06-04 18:58:06.794203
Filial 10,4,2023-03-10 18:58:06.794203
Filial 2,60,2023-06-28 18:58:06.794203
Filial 5,59,2023-07-29 18:58:06.794203
Filial 3,72,2023-06-18 18:58:06.794203
Filial 7,26,2022-11-12 18:58:06.794203
Filial 9,79,2022-09-14 18:58:06.794203
Filial 2,9,2023-08-12 18:58:06.794203
Filial 2,7,2022-09-21 18:58:06.794203
Filial 9,81,2023-01-24 18:58:06.794203
Filial 8,59,2023-01-16 18:58:06.794203
Filial 8,53,2022-12-15 18:58:06.794203
Filial 9,47,2023-05-08 18:58:06.794203
Filial 3,63,2022-09-11 18:58:06.794203
Filial 7,21,2023-02-26 18:58:06.794203
Filial 9,6,2023-01-21 18:58:06.794203
Filial 1,84,2023-03-11 18:58:06.794203
Filial 2,80,2023-06-12 18:58:06.794203
Filial 8,99,2023-03-17 18:58:06.794203
Filial 3,51,2023-01-14 18:58:06.794203
Filial 9,97,2023-05-06 18:58:06.794203
Filial 8,76,2022-09-30 18:58:06.794203
Filial 6,51,2023-03-26 18:58:06.794203
Filial 2,93,2023-07-13 18:58:06.794203
Filial 3,73,2022-12-08 18:58:06.794203
Filial 1,84,2023-04-24 18:58:06.794203
Filial 2,44,2022-11-18 18:58:06.794203
Filial 2,91,2023-08-02 18:58:06.794203
Filial 2,54,2023-07-26 18:58:06.794203
Filial 5,90,2023-08-07 18:58:06.794203
Filial 8,91,2022-12-01 18:58:06.794203
Filial 10,64,2022-12-13 18:58:06.794203
Filial 5,20,2023-05-24 18:58:06.794203
Filial 2,71,2023-04-30 18:58:06.794203
Filial 10,33,2023-03-23 18:58:06.794203
Filial 9,95,2022-10-29 18:58:06.794203
Filial 6,45,2023-02-24 18:58:06.794203
Filial 4,77,2022-09-26 18:58:06.794203
Filial 6,66,2023-05-07 18:58:06.794203
Filial 4,49,2022-12-19 18:58:06.794203
Filial 4,79,2023-08-10 18:58:06.794203
Filial 6,65,2023-05-14 18:58:06.794203
Filial 4,35,2023-05-09 18:58:06.794203
Filial 9,96,2023-04-10 18:58:06.794203
Filial 3,50,2023-08-07 18:58:06.794203
Filial 4,90,2023-02-08 18:58:06.794203
Filial 7,26,2022-12-25 18:58:06.794203
Filial 7,10,2023-08-02 18:58:06.794203
Filial 1,41,2023-04-26 18:58:06.794203
Filial 1,25,2022-09-05 18:58:06.794203
Filial 2,17,2023-06-09 18:58:06.794203
Filial 8,86,2023-02-05 18:58:06.794203
Filial 6,30,2023-07-30 18:58:06.794203
Filial 6,45,2023-06-23 18:58:06.794203
Filial 2,16,2023-08-21 18:58:06.794203
Filial 6,85,2023-03-16 18:58:06.794203
Filial 2,5,2023-08-17 18:58:06.794203
Filial 3,7,2023-03-01 18:58:06.794203
Filial 7,95,2023-04-07 18:58:06.794203
Filial 3,64,2023-01-19 18:58:06.794203
Filial 5,18,2023-06-26 18:58:06.794203
Filial 7,17,2022-12-23 18:58:06.794203
Filial 2,75,2023-01-14 18:58:06.794203
Filial 8,81,2023-01-24 18:58:06.794203
Filial 5,63,2023-08-13 18:58:06.794203
Filial 4,36,2022-11-11 18:58:06.794203
Filial 1,79,2023-07-26 18:58:06.794203
Filial 7,46,2022-12-22 18:58:06.794203
Filial 10,41,2023-06-11 18:58:06.794203
Filial 3,17,2022-10-26 18:58:06.794203
Filial 5,100,2023-01-25 18:58:06.794203
Filial 10,83,2023-01-11 18:58:06.794203
Filial 7,89,2023-03-26 18:58:06.794203
Filial 2,44,2023-02-25 18:58:06.794203
Filial 5,40,2023-06-20 18:58:06.794203
Filial 7,90,2023-02-22 18:58:06.794203
Filial 8,14,2023-01-05 18:58:06.794203
Filial 6,99,2023-06-06 18:58:06.794203
Filial 3,87,2023-02-24 18:58:06.794203
Filial 3,98,2023-04-30 18:58:06.794203
Filial 9,96,2023-01-16 18:58:06.794203
Filial 5,53,2023-04-18 18:58:06.794203
Filial 5,92,2022-10-25 18:58:06.794203
Filial 8,31,2023-08-09 18:58:06.794203
Filial 1,48,2023-01-26 18:58:06.794203
Filial 7,91,2023-07-06 18:58:06.794203
Filial 2,10,2022-09-14 18:58:06.794203
Filial 9,41,2022-11-15 18:58:06.794203
Filial 8,71,2023-02-02 18:58:06.794203
Filial 10,79,2023-01-06 18:58:06.794203
Filial 4,16,2023-01-23 18:58:06.794203
Filial 6,94,2023-09-03 18:58:06.794203
Filial 1,24,2023-08-18 18:58:06.794203
Filial 10,30,2023-08-11 18:58:06.794203
Filial 4,49,2022-09-17 18:58:06.794203
Filial 1,94,2023-04-12 18:58:06.794203
Filial 10,64,2022-10-08 18:58:06.794203
Filial 7,46,2022-10-24 18:58:06.794203
Filial 9,26,2022-09-16 18:58:06.794203
Filial 6,2,2023-05-24 18:58:06.794203
Filial 5,47,2023-05-25 18:58:06.794203
Filial 5,36,2022-09-26 18:58:06.794203
Filial 3,72,2023-03-17 18:58:06.794203
Filial 6,42,2022-09-11 18:58:06.794203
Filial 1,77,2022-11-11 18:58:06.794203
Filial 3,55,2023-03-30 18:58:06.794203
Filial 1,51,2022-10-14 18:58:06.794203
Filial 2,44,2023-05-13 18:58:06.794203
Filial 3,40,2022-10-07 18:58:06.794203
Filial 8,42,2023-04-21 18:58:06.794203
Filial 1,63,2022-11-22 18:58:06.794203
Filial 8,94,2023-02-18 18:58:06.794203
Filial 7,7,2023-08-29 18:58:06.794203
Filial 3,97,2022-09-27 18:58:06.794203
Filial 10,17,2023-01-30 18:58:06.794203
Filial 7,41,2023-07-13 18:58:06.794203
Filial 1,73,2023-07-16 18:58:06.794203
Filial 2,44,2022-12-13 18:58:06.794203
Filial 7,93,2022-12-17 18:58:06.794203
Filial 6,95,2022-10-28 18:58:06.794203
Filial 8,31,2023-08-17 18:58:06.794203
Filial 9,87,2023-02-22 18:58:06.794203
Filial 4,58,2023-03-19 18:58:06.794203
Filial 9,53,2022-09-23 18:58:06.794203
Filial 1,25,2023-05-23 18:58:06.794203
Filial 1,21,2023-06-08 18:58:06.794203
Filial 2,87,2022-11-11 18:58:06.794203
Filial 6,12,2023-01-04 18:58:06.794203
Filial 8,26,2023-04-23 18:58:06.794203
Filial 5,70,2023-05-21 18:58:06.794203
Filial 5,89,2023-06-22 18:58:06.794203
Filial 5,80,2023-02-21 18:58:06.794203
Filial 1,3,2023-08-18 18:58:06.794203
Filial 10,59,2023-02-20 18:58:06.794203
Filial 9,60,2023-08-27 18:58:06.794203
Filial 10,88,2023-03-14 18:58:06.794203
Filial 7,90,2022-12-06 18:58:06.794203
Filial 2,69,2022-09-22 18:58:06.794203
Filial 1,73,2023-02-03 18:58:06.794203
Filial 7,16,2023-02-09 18:58:06.794203
Filial 10,42,2023-03-05 18:58:06.794203
Filial 6,6,2022-09-25 18:58:06.794203
Filial 2,81,2023-02-16 18:58:06.794203
Filial 6,79,2023-03-29 18:58:06.794203
Filial 1,23,2022-12-01 18:58:06.794203
Filial 1,25,2023-01-16 18:58:06.794203
Filial 2,88,2023-03-24 18:58:06.794203
Filial 2,84,2022-09-19 18:58:06.794203
Filial 8,59,2023-06-17 18:58:06.794203
Filial 3,98,2023-06-16 18:58:06.794203
Filial 10,10,2023-08-28 18:58:06.794203
Filial 1,53,2023-03-02 18:58:06.794203
Filial 9,9,2023-08-11 18:58:06.794203
Filial 1,100,2023-03-18 18:58:06.794203
Filial 9,44,2022-10-12 18:58:06.794203
Filial 10,78,2022-12-14 18:58:06.794203
Filial 2,46,2023-06-27 18:58:06.794203
Filial 8,41,2022-09-28 18:58:06.794203
Filial 2,12,2023-03-10 18:58:06.794203
Filial 2,62,2023-01-05 18:58:06.794203
Filial 3,32,2023-03-27 18:58:06.794203
Filial 2,96,2022-10-24 18:58:06.794203
Filial 1,93,2023-09-01 18:58:06.794203
Filial 8,30,2023-06-10 18:58:06.794203
Filial 10,46,2023-03-23 18:58:06.794203
Filial 9,65,2022-11-29 18:58:06.794203
Filial 8,8,2023-05-17 18:58:06.794203
Filial 7,88,2023-04-04 18:58:06.794203
Filial 4,2,2022-11-12 18:58:06.794203
Filial 10,77,2022-11-07 18:58:06.794203
Filial 2,53,2023-04-16 18:58:06.794203
Filial 4,31,2022-10-19 18:58:06.794203
Filial 9,82,2023-02-01 18:58:06.794203
Filial 6,54,2022-09-26 18:58:06.794203
Filial 4,2,2022-11-13 18:58:06.794203
Filial 6,61,2022-10-10 18:58:06.794203
Filial 9,24,2022-10-11 18:58:06.794203
Filial 5,74,2022-11-23 18:58:06.794203
Filial 7,55,2023-05-24 18:58:06.794203
Filial 8,60,2022-10-22 18:58:06.794203
Filial 8,7,2023-07-18 18:58:06.794203
Filial 9,37,2023-04-16 18:58:06.794203
Filial 2,21,2022-10-09 18:58:06.794203
Filial 1,37,2023-06-08 18:58:06.794203
Filial 8,94,2023-05-09 18:58:06.794203
Filial 1,22,2023-06-10 18:58:06.794203
